5 0 0 0 0 0 0 
3155.42 -2.75355e+10 1.44709e+11 2.46251e+07   -30063.2 -6531.32 -58.0393
3155.42 -2.71618e+10 1.4457e+11 -1.9671e+06   -29757.5 -5600.7 0.789201
3155.42 -0.271168 -0.0357483 0.0119513   -8.59371e-05 -1.13292e-05 3.78753e-06
3155.42 -5.91197e+10 -1.13712e+10 4.53277e+09   514.123 -45950.1 -3857.89
3155.42 -7.08528e+10 -8.25755e+10 2.94995e+09   28217.4 -23187.7 -2077.5
6310.84 -2.76304e+10 1.44688e+11 2.44403e+07   -30052.2 -6553.02 -58.5672
6310.84 -2.72557e+10 1.44552e+11 -1.96459e+06   -29754 -5619.69 0.79591
6310.84 -0.813338 -0.107597 0.0358202   -0.000171822 -2.27698e-05 7.56442e-06
6310.84 -5.91177e+10 -1.15161e+10 4.52057e+09   626.652 -45928.5 -3866.52
6310.84 -7.07637e+10 -8.26486e+10 2.94339e+09   28240.4 -23160.8 -2078.46
9466.27 -2.77251e+10 1.44667e+11 2.42538e+07   -30041.2 -6574.66 -59.0918
9466.27 -2.73495e+10 1.44535e+11 -1.96206e+06   -29750.5 -5638.68 0.802579
9466.27 -1.62634 -0.215896 0.0715732   -0.000257654 -3.43217e-05 1.13307e-05
9466.27 -5.91154e+10 -1.1661e+10 4.50834e+09   739.041 -45906.6 -3875.11
9466.27 -7.06745e+10 -8.27216e+10 2.93683e+09   28263.4 -23134 -2079.42
12621.7 -2.78199e+10 1.44646e+11 2.40657e+07   -30030.1 -6596.24 -59.6133
12621.7 -2.74434e+10 1.44517e+11 -1.95951e+06   -29747 -5657.67 0.80921
12621.7 -2.71002 -0.360998 0.119177   -0.000343433 -4.59848e-05 1.50863e-05
12621.7 -5.91127e+10 -1.18057e+10 4.49609e+09   851.287 -45884.5 -3883.68
12621.7 -7.05853e+10 -8.27945e+10 2.93027e+09   28286.4 -23107.1 -2080.37
15777.1 -2.79146e+10 1.44625e+11 2.3876e+07   -30019 -6617.76 -60.1315
15777.1 -2.75373e+10 1.44499e+11 -1.95693e+06   -29743.5 -5676.66 0.8158
15777.1 -4.0642 -0.543251 0.178597   -0.00042916 -5.77588e-05 1.88312e-05
15777.1 -5.91097e+10 -1.19505e+10 4.48381e+09   963.392 -45862.1 -3892.2
15777.1 -7.04959e+10 -8.28673e+10 2.9237e+09   28309.3 -23080.2 -2081.32
18932.5 -2.80093e+10 1.44605e+11 2.36846e+07   -30007.9 -6639.23 -60.6465
18932.5 -2.76311e+10 1.44481e+11 -1.95434e+06   -29739.9 -5695.64 0.82235
18932.5 -5.68872 -0.763006 0.249801   -0.000514833 -6.96436e-05 2.25656e-05
18932.5 -5.91063e+10 -1.20951e+10 4.4715e+09   1075.35 -45839.4 -3900.69
18932.5 -7.04065e+10 -8.29401e+10 2.91713e+09   28332.2 -23053.3 -2082.27
22088 -2.8104e+10 1.44583e+11 2.34916e+07   -29996.7 -6660.64 -61.1581
22088 -2.77249e+10 1.44463e+11 -1.95172e+06   -29736.4 -5714.62 0.82886
22088 -7.5834 -1.02061 0.332755   -0.000600453 -8.16389e-05 2.62893e-05
22088 -5.91025e+10 -1.22397e+10 4.45916e+09   1187.17 -45816.6 -3909.15
22088 -7.0317e+10 -8.30127e+10 2.91055e+09   28355.1 -23026.4 -2083.22
25243.4 -2.81986e+10 1.44562e+11 2.32971e+07   -29985.5 -6681.99 -61.6664
25243.4 -2.78188e+10 1.44445e+11 -1.94909e+06   -29732.8 -5733.61 0.835328
25243.4 -9.74808 -1.31642 0.427425   -0.00068602 -9.37448e-05 3.00023e-05
25243.4 -5.90984e+10 -1.23842e+10 4.4468e+09   1298.85 -45793.4 -3917.58
25243.4 -7.02275e+10 -8.30853e+10 2.90398e+09   28377.9 -22999.4 -2084.17
28398.8 -2.82932e+10 1.44541e+11 2.31009e+07   -29974.3 -6703.28 -62.1713
28398.8 -2.79126e+10 1.44427e+11 -1.94643e+06   -29729.3 -5752.59 0.841755
28398.8 -12.1826 -1.65077 0.533778   -0.000771534 -0.000105961 3.37048e-05
28398.8 -5.9094e+10 -1.25286e+10 4.43441e+09   1410.39 -45770.1 -3925.97
28398.8 -7.01379e+10 -8.31578e+10 2.8974e+09   28400.8 -22972.4 -2085.11
31554.2 -2.83877e+10 1.4452e+11 2.29031e+07   -29963 -6724.52 -62.6729
31554.2 -2.80064e+10 1.44408e+11 -1.94375e+06   -29725.7 -5771.56 0.84814
31554.2 -14.8868 -2.02401 0.65178   -0.000856994 -0.000118287 3.73966e-05
31554.2 -5.90892e+10 -1.26729e+10 4.422e+09   1521.78 -45746.4 -3934.33
31554.2 -7.00482e+10 -8.32302e+10 2.89082e+09   28423.6 -22945.4 -2086.05
34709.6 -2.84822e+10 1.44499e+11 2.27038e+07   -29951.7 -6745.69 -63.1709
34709.6 -2.81001e+10 1.4439e+11 -1.94106e+06   -29722.1 -5790.54 0.854482
34709.6 -17.8604 -2.4365 0.781398   -0.0009424 -0.000130723 4.10778e-05
34709.6 -5.9084e+10 -1.28172e+10 4.40956e+09   1633.02 -45722.6 -3942.66
34709.6 -6.99584e+10 -8.33025e+10 2.88423e+09   28446.3 -22918.3 -2086.99
37865.1 -2.85767e+10 1.44477e+11 2.25029e+07   -29940.3 -6766.81 -63.6655
37865.1 -2.81939e+10 1.44372e+11 -1.93834e+06   -29718.5 -5809.51 0.860782
37865.1 -21.1034 -2.88857 0.922597   -0.00102775 -0.000143269 4.47483e-05
37865.1 -5.90785e+10 -1.29614e+10 4.39709e+09   1744.13 -45698.5 -3950.95
37865.1 -6.98686e+10 -8.33747e+10 2.87764e+09   28469.1 -22891.2 -2087.93
41020.5 -2.86711e+10 1.44456e+11 2.23005e+07   -29928.9 -6787.86 -64.1565
41020.5 -2.82877e+10 1.44353e+11 -1.93561e+06   -29714.9 -5828.49 0.867038
41020.5 -24.6156 -3.38058 1.07535   -0.00111305 -0.000155924 4.84082e-05
41020.5 -5.90727e+10 -1.31055e+10 4.3846e+09   1855.08 -45674.1 -3959.21
41020.5 -6.97787e+10 -8.34469e+10 2.87105e+09   28491.8 -22864.1 -2088.87
44175.9 -2.87655e+10 1.44435e+11 2.20965e+07   -29917.5 -6808.86 -64.644
44175.9 -2.83814e+10 1.44335e+11 -1.93285e+06   -29711.3 -5847.46 0.87325
44175.9 -28.3967 -3.91286 1.23961   -0.0011983 -0.000168689 5.20575e-05
